match_id,total_runs
118,713
125,727
128,1053
131,773
132,914
133,713
134,969
136,591
138,699
139,934
140,925
141,971
142,789
143,1095
144,882
145,1371
146,881
147,961
148,866
149,1279
150,976
151,758
1578,607
1634,1315
1635,824
1636,1403
1637,1098
1645,1315
1650,682
1651,1246
1654,1056
1656,1223
1658,872
1659,1427
1661,1295
1662,1190
1663,1149
1664,1126
1665,917
1666,1239
1667,909
1669,1090
1671,1089
1674,1385
1675,1041
1680,1747
1685,1267
1689,1293
1692,1099
1696,1458
1697,1069
1708,1372
1712,944
1714,999
1717,989
1720,605
1721,1014
1722,1145
1723,1215
1724,1058
1725,912
1726,993
1732,1130
1737,659
1739,1131
1740,898
1742,862
1748,1006
1749,1010
1750,1462
1753,867
1756,909
1758,1176
1759,610
1761,922
1762,1211
1763,1079
1764,644
1765,1018
1766,845
1768,878
1770,1208
1771,967
1772,1340
1778,1169
1779,1168
1780,1292
1782,1702
1783,1347
1784,1001
1785,1273
1786,871
1787,1067
1788,963
1789,805
1792,1240
1795,1125
1796,705
1797,1151
1798,1022
1800,1226
1801,808
1802,1280
1803,748
1804,972
1805,1431
1806,1097
1807,1413
1808,693
1809,1483
1810,1359
1811,802
1812,1345
1813,1553
1814,975
1815,995
1816,1409
1817,1331
1819,1361
1820,649
1821,1336
1822,1049
1823,847
1824,739
1825,1012
1826,877
1827,1167
1829,911
1830,687
1831,1363
1832,829
1833,981
1834,857
1835,1306
1836,1020
1837,920
1838,812
1839,807
1840,1063
1841,1107
1842,1558
1843,1268
1844,1184
1845,1062
1846,938
1847,1408
1848,707
1849,957
1850,1470
1851,1172
1852,1609
1853,1149
1854,831
1855,1051
1856,1038
1857,1606
1858,1012
1859,787
1860,1012
1861,649
1862,1176
1863,1358
1864,749
1865,961
1866,1105
1867,1144
1868,1319
1869,1311
1870,1498
1871,898
1872,1094
1873,775
1874,865
1875,1101
1876,991
1877,1341
1878,719
1879,1293
1880,1233
1881,1061
1882,961
1883,1191
1884,1026
1885,1026
1886,1036
1887,1195
1889,1246
1890,510
1891,1429
1892,1300
1893,753
1894,815
1895,810
1896,1008
1898,1255
1899,1389
1901,1070
1902,1283
1904,1301
1905,1197
1906,761
1907,7
1908,1442
1909,1553
1910,1184
1911,1628
1912,716
1913,1191
